# Collaborateurs de Paul Erdös 
# format : V   numero_sommet      nom auteur
#          E   num_sommet1        num_sommet1 


V 0 "ABBOTT, HARVEY L."
V 264 "KROO, ANDRAS V."
V 265 "KUBICKA, EWA MARIE"
V 266 "KUBICKI, GRZEGORZ"
V 267 "KUNEN, KENNETH"
V 268 "LACAMPAGNE, CAROLE B."
V 269 "LAM, PETER CHE BOR"
V 270 "LARSON, JEAN A."
V 271 "LASKAR, RENU C."
V 272 "LEFMANN, HANNO"
V 273 "LEHEL, JENO"
V 274 "LEHNER, JOSEPH"
V 275 "LENGYEL, BELA A."
V 276 "LEV, VSEVOLOD F."
V 277 "LEVEQUE, WILLIAM JUDSON"
V 278 "LEWIN, MORDECHAI"
V 279 "LI, WEN-CH'ING WINNIE"
V 280 "LICK, DON R."
V 281 "LINIAL, NATHAN"
V 282 "LIU, JIUQIANG"
V 283 "LOEBL, MARTIN"
V 284 "LORENTZ, GEORGE GUNTHER"
V 285 "LOVASZ, LASZLO"
V 286 "LOXTON, JOHN H."
V 287 "LUCZAK, TOMASZ"
V 288 "MACINTYRE, ARCHIBALD JAMES*"
V 289 "MAGIDOR, MENACHEM"
V 290 "MAHLER, KURT*"
V 291 "MAIER, HELMUT"
V 292 "MAKAI, ENDRE, JR."
V 293 "MAKKAI, MICHAEL"
V 294 "MALDE, PARESH J."
V 295 "MALOUF, JANICE L."
V 296 "MARCUS, SOLOMON"
V 297 "MATE, ATTILA"
V 298 "MAUDUIT, CHRISTIAN"
V 299 "MAULDIN, R. DANIEL"
V 300 "MAXSEIN, THOMAS"
V 301 "MAYS, MICHAEL E."
V 302 "MCCANNA, JOSEPH E."
V 303 "MCELIECE, ROBERT J."
V 304 "MCKAY, BRENDAN D."
V 305 "MEIR, AMRAM"
V 306 "MELFI, GIUSEPPE"
V 307 "MEYER, ANJA GABRIELE"
V 308 "MILLS, GEORGE HARLOW"
V 309 "MILNER, ERIC CHARLES*"
V 310 "MINC, HENRYK"
V 311 "MIRSKY, LEONID*"
V 312 "MONTGOMERY, HUGH L."
V 313 "MONTGOMERY, PETER L."
V 314 "MOON, JOHN W."
V 315 "MORAN, SHLOMO"
V 316 "MORTON, PATRICK"
V 317 "MOSER, LEO*"
V 318 "MULLIN, RONALD C."
V 319 "MURTY, MARUTI RAM"
V 320 "MURTY, VIJAYA KUMAR"
V 321 "NATHANSON, MELVYN B."
V 322 "NESETRIL, JAROSLAV"
V 323 "NETANYAHU, ELISHA*"
V 324 "NEVEU, JACQUES"
V 325 "NEWMAN, DONALD J."
V 326 "NEY, PETER E."
V 327 "NICOLAS, JEAN-LOUIS"
V 328 "NIVEN, IVAN*"
V 329 "NORTON, DONALD A."
V 330 "O'NEIL, PATRICK EUGENE"
V 331 "OBLATH, RICHARD*"
V 332 "ODLYZKO, ANDREW M."
V 333 "OELLERMANN, ORTRUD R."
V 334 "OFFORD, A. CYRIL*"
V 335 "ORDMAN, EDWARD T."
V 336 "OXTOBY, JOHN C.*"
V 337 "PACH, JANOS"
V 338 "PALFY, PETER PAL"
V 339 "PALKA, ZBIGNIEW J."
V 340 "PALMER, EDGAR M."
V 341 "PAPP, ZOLTAN Z."
V 342 "PARSONS, TORRENCE DOUGLAS*"
V 343 "PAYAN, CHARLES"
V 344 "PENNEY, DAVID E."
V 345 "PHELPS, KEVIN T."
V 346 "PINKUS, ALLAN M."
V 347 "PIPPERT, RAYMOND E."
V 348 "PIRANIAN, GEORGE"
V 349 "POLLACK, RICHARD M."
V 350 "POLLARD, HARRY*"
V 351 "POMERANCE, CARL"
V 352 "POSA, LAJOS"
V 353 "PRACHAR, KARL*"
V 354 "PREISS, DAVID"
V 355 "PUDAITE, PAUL"
V 356 "PULLMAN, NORMAN J.*"
V 357 "PURDY, GEORGE B."
V 358 "PYBER, LASZLO"
V 359 "RADO, RICHARD*"
V 360 "RAMACHANDRA, KANAKANAHALLI"
V 361 "RAO, SIDDANI BHASKARA"
V 362 "RAUZY, GERARD"
V 363 "REDDY, A. R."
V 364 "REID, TALMAGE JAMES"
V 365 "RENYI, ALFRED A.*"
V 366 "REVESZ, PAL"
V 367 "REZNICK, BRUCE A."
V 368 "RICHARDS, J. IAN"
V 369 "RICHMOND, LAWRENCE BRUCE"
V 370 "RIEGER, GEORG JOHANN"
V 371 "RIESEL, HANS"
V 372 "ROBINSON, ROBERT W."
V 373 "RODL, VOJTECH"
V 374 "ROGERS, CLAUDE AMBROSE"
V 375 "ROSA, ALEXANDER"
V 376 "ROSENBLOOM, PAUL CHARLES"
V 377 "ROSENFELD, MOSHE-1"
V 378 "ROTHSCHILD, BRUCE L."
V 379 "ROUSSEAU, CECIL CLYDE"
V 380 "RUBEL, LEE A.*"
V 381 "RUBIN, ARTHUR L."
V 382 "RUDIN, MARY ELLEN"
V 383 "RUSZINKO, MIKLOS"
V 384 "RUZSA, IMRE Z."
V 385 "RYAVEC, CHARLES A."
V 386 "SACHS, HORST"
V 387 "SAFFARI, BAHMAN"
V 388 "SAIAS, ERIC"
V 389 "SAKS, MICHAEL E."
V 390 "SALAMON, PETER"
V 391 "SALAT, TIBOR"
V 392 "SANDOR, CSABA"
V 393 "SARKAR, AMITES"
V 394 "SARKOZY, ANDRAS"
V 395 "SARKOZY, GABOR N."
V 396 "SAUER, NORBERT W."
V 397 "SCHAER, JONATHAN"
V 398 "SCHELP, RICHARD H."
V 399 "SCHERK, PETER*"
V 400 "SCHINZEL, ANDRZEJ"
V 401 "SCHMUTZ, ERIC"
V 402 "SCHNITZER, FRANZ JOSEPH"
V 403 "SCHONHEIM, JOHANAN"
V 404 "SCHULMAN, LEONARD J."
V 405 "SCHUSTER, SEYMOUR"
V 406 "SCHWENK, ALLEN JOHN"
V 407 "SEGAL, SANFORD L."
V 408 "SEIDEL, WLADIMIR P.*"
V 409 "SELFRIDGE, JOHN L."
V 410 "SELKOW, STANLEY M."
V 411 "SERESS, AKOS"
V 412 "SHALLIT, JEFFREY OUTLAW"
V 413 "SHAPIRO, HAROLD N."
V 414 "SHAPIRO, HAROLD S."
V 415 "SHARMA, AMBIKESHWAR"
V 416 "SHELAH, SAHARON"
V 417 "SHENG, T. K."
V 418 "SHIELDS, ALLEN LOWELL*"
V 419 "SHISHA, OVED*"
V 420 "SHOREY, TARLOK N."
V 421 "SHREVE, WARREN E."
V 422 "SILBERMAN, GABRIEL M."
V 423 "SILVERMAN, RUTH"
V 424 "SIMMONS, GUSTAVUS J."
V 425 "SIMONOVITS, MIKLOS"
V 426 "SINGHI, NAVIN MADHAVPRASAD"
V 427 "SIRAN, JOZEF"
V 428 "SIRAO, TUNEKITI"
V 429 "SKILTON, DONALD K."
V 430 "SMITH, BRENT PENDLETON"
V 431 "SMITH, PAUL R."
V 432 "SOIFER, ALEXANDER"
V 433 "SOS, VERA T."
V 434 "SPECKER, ERNST P."
V 435 "SPENCER, JOEL H."
V 436 "SPIRO-SILVERMAN, CLAUDIA A."
V 437 "STATON, WILLIAM A., III"
V 438 "STEIN, ALAN H."
V 439 "STEIN, SHERMAN K."
V 440 "STEWART, CAMERON L."
V 441 "STINSON, DOUGLAS ROBERT"
V 442 "STONE, ARTHUR HAROLD*"
V 443 "STRAIGHT, H. JOSEPH"
V 444 "STRAUS, ERNST GABOR*"
V 445 "SUBBARAO, M. V."
V 446 "SUEN, W.-C. STEPHEN"
V 447 "SUN, HUI CHENG"
V 448 "SURANYI, JANOS"
V 449 "SWART, HENDA C."
V 450 "SZABADOS, JOZSEF"
V 451 "SZALAY, MIHALY"
V 452 "SZEGEDY, MARIO"
V 453 "SZEGO, GABOR*"
V 454 "SZEKELY, LASZLO A."
V 455 "SZEKERES, ESTHER"
V 456 "SZEKERES, GEORGE"
V 457 "SZEMEREDI, ENDRE"
V 458 "SZUSZ, PETER"
V 459 "TARSKI, ALFRED*"
V 460 "TAYLOR, ALAN D."
V 461 "TAYLOR, HERBERT"
V 462 "TAYLOR, SAMUEL JAMES"
V 463 "TENENBAUM, GERALD"
V 464 "TETALI, PRASAD"
V 465 "THOMASSEN, CARSTEN"
V 466 "TIJDEMAN, ROBERT"
V 467 "TOTH, JANOS T."
V 468 "TOTIK, VILMOS"
V 469 "TOVEY, CRAIG A."
V 470 "TROTTER, WILLIAM T., JR."
V 471 "TURAN, PAL*"
V 472 "TURK, JOHANNES WILHELMUS MARIA"
V 473 "TUTTE, WILLIAM THOMAS"
V 474 "TUZA, ZSOLT"
V 475 "ULAM, STANISLAW MARCIN*"
V 476 "URBANIK, KAZIMIERZ"
V 477 "VAALER, JEFFREY D."
V 478 "VALTR, PAVEL"
V 479 "VAN KAMPEN, EGBERTUS RUDOLF*"
V 480 "VAN LINT, JACOBUS HENDRICUS"
V 481 "VARMA, ARUN KUMAR*"
V 482 "VAUGHAN, ROBERT C."
V 483 "VAZSONYI, ANDREW"
V 484 "VERTESI, PETER O. H."
V 485 "VESZTERGOMBI, KATALIN L."
V 486 "VIJAYAN, KAIPILLIL"
V 487 "VINCZE, ISTVAN"
V 488 "VOLKMANN, BODO"
V 489 "WAGSTAFF, SAMUEL S., JR."
V 490 "WANG, JIAN FANG"
V 491 "WEAKLEY, WILLIAM DOUGLAS"
V 492 "WEISS, GARY"
V 493 "WEST, DOUGLAS B."
V 494 "WILLIAMSON, ALAN GLYNNE"
V 495 "WILSON, RICHARD M."
V 496 "WILSON, ROBIN JAMES"
V 497 "WINKLER, PETER M."
V 498 "WINTNER, AUREL*"
V 499 "WORMALD, NICHOLAS C."
V 500 "YAO, FOONG FRANCES"
V 501 "ZAKS, ABRAHAM"
V 502 "ZAKS, SHMUEL"
V 503 "ZALCSTEIN, YECHEZKEL"
V 504 "ZAREMBA, STANISLAW KRYSTYN"
V 505 "ZHANG, ZHEN XIANG"
V 506 "ZIV, ABRAHAM"
V 507 "Aardal, Karen"
V 508 "Aaronson, Jonathan"
V 509 "Aarts, Emile H. L."
V 510 "Abbw-Jackson, Daniel"
V 511 "Abd el Maqsoud, A. E. I."
V 512 "Abdel-Ghaffar, Khaled A. S."
V 513 "Abdelbar, Ashraf M."
V 514 "Abel, R. Julian R."
V 515 "Abel, Ulrich"
V 516 "Abhyankar, Shreeram S."
V 517 "Ablow, Clarence M."
V 518 "AboElFotoh, Hosam M."
V 519 "Abraham, Bovas"
V 520 "Abraham, Uri"
V 521 "Abu-Mostafa, Yaser S."
V 522 "Abu-Sbeih, Mohammed Z."
V 523 "Achlioptas, Dimitris"
V 524 "Achuthan, Narasimaha R."
V 525 "Achuthan, Nirmala"
V 526 "Acreman, D."
V 527 "Aczel, S."
V 528 "Adam, Andras"
V 529 "Adamec, Radek"
V 530 "Adami, Stefania"
V 531 "Adams, C. Raymond"
V 532 "Adams, Michael E."
V 533 "Adams, William W."
V 534 "Adelman, Murray"
V 535 "Adelman, Omer"
V 536 "Adena, Michael A."
V 537 "Adhikary, Arun Kumar"
V 538 "Adleman, Leonard M."
V 539 "Adler, Gyorgy"
V 540 "Adler, Ilan"
V 541 "Adya, Atul"
V 542 "Afek, Yehuda"
V 543 "Agarwal, Ashok Kumar-1"
V 544 "Agarwal, Pankaj Kumar"
V 545 "Agarwal, Vinod K.-2"
V 546 "Ageev, Alexander A."
V 547 "Aggarwal, Alok"
V 548 "Agnarsson, Geir"
V 549 "Agnew, Gordon B."
V 550 "Agnew, Ralph Palmer"
V 551 "Agronsky, S. J."
V 552 "Agur, Zvia"
V 553 "Aharoni, Dan"
V 554 "Aharoni, Gad"
V 555 "Aharoni, Moshe"
V 556 "Aharonov, Dov"
V 557 "Ahlswede, Rudolf F."
V 558 "Ahmadi, Mohammad H."
V 559 "Ahrens, Richard W."
V 560 "Aiello, Walter G."
V 561 "Aiello, William A."
V 562 "Aingworth, Donald"
V 563 "Aissen, Michael"
V 564 "Aitchison, Peter W."
V 565 "Aji, Srinivas M."
V 566 "Akbari-Feyzaabaadi, S."
V 567 "Akbary, Amir"
V 568 "Akeroyd, John"
V 569 "Akhlaghi, M. R. A."
V 570 "Akiyama, Jin"
V 571 "Akkari, Safwan"
V 572 "Akyildiz, Ian Fuat"
V 573 "Al-Hakim, Latif A."
V 574 "Al-Khnaifes, Khaled"
V 575 "Al-Rashed, Abdallah M."
V 576 "Al-Wahabi, Kais"
V 577 "Alabau, Fatiha"
V 578 "Aladro, Gerardo"
V 579 "Alas, Ofelia Teresa"
V 580 "Albano, Paolo"
V 581 "Albert, Michael H."
V 582 "Alberti, Giovanni"
V 583 "Albertson, Michael O."
V 584 "Albonesi, David H."
V 585 "Albrecht, Felix"
V 586 "Albree, Joe"
V 587 "Aldous, David J."
V 588 "Aldred, Robert E. L."
V 589 "Alekhnovich, Michael"
V 590 "Aleksandrov, Alexei B."
V 591 "Aleliunas, Romas"
V 592 "Alexander, Charles C."
V 593 "Alexander, John Ralph"
V 594 "Alexanderson, Gerald L."
V 595 "Alexits, Gyorgy"
V 596 "Alford, W. R. (Red)"
V 597 "Algor, Ilan"
V 598 "Ali, Asad Ali"
V 599 "Ali, Firasath"
V 600 "Ali, Hesham H."
V 601 "Ali, Sayel A."
V 602 "Aliev, I."
V 603 "Alimov, Sh. A."
V 604 "Aljancic, Slobodan"
V 605 "Alkan, Ahmet Ugur"
V 606 "Allan, Robert B."
V 607 "Allen, G. Donald"
V 608 "Allen, Richard C., Jr."
V 609 "Allenberg-Navony, Nechama"
V 610 "Allender, Eric"
V 611 "Alles, Peter"
V 612 "Allouche, Jean-Paul"
V 613 "Alm, Sven Erick"
V 614 "Almkvist, Gert"
V 615 "Alniacik, Kamil"
V 616 "Alpar, Laszlo"
V 617 "Alsina, Claudi"
V 618 "Alspach, Brian R."
V 619 "Althoen, Steven C."
V 620 "Alzer, Horst"
V 621 "Alzohairi, Mohammad"
V 622 "Amar, Francois"
V 623 "Ambainis, Andris"
V 624 "Ambrose, Warren A."
V 625 "Amdursky, Vardy"
V 626 "Amer, Mahmaud Abdel-Hamid"
V 627 "Amin, Ashok T."
V 628 "Amir, Yair"
V 629 "Amit, Alon"
V 630 "Amit, R."
V 631 "Ammann, Robert"
V 632 "Ammons, Jane C."
V 633 "Amoura, A. K."
V 634 "An, Chung Ming"
V 635 "Ananchuen, Nawarat"
V 636 "Ananchuen, Watcharaphong"
V 637 "Anand, Harsh"
V 638 "Anastassiou, George A."
V 639 "Anaya, Janet Crump"
V 640 "Andersen, Lars Dovling"
V 641 "Anderson, Ann"
V 642 "Anderson, Bruce A."
V 643 "Anderson, Bruce B."
V 644 "Anderson, Daniel D."
V 645 "Anderson, Eric J."
V 646 "Anderson, Ian"
V 647 "Anderson, Marlow"
V 648 "Anderson, Norman"
V 649 "Anderson, Peter G."
V 650 "Anderson, Richard John"
V 651 "Anderson, Sabra Sullivan"
V 652 "Anderson, T. Laugenia"
V 653 "Anderson, Theodore W."
V 654 "Anderson, William N., Jr."
V 655 "Andersson, Jan-Olaf"
V 656 "Ando, Kiyoshi"
V 657 "Andreae, Thomas"
V 658 "Andreka, Hajnalka"
V 659 "Andresen, Bjarne"
V 660 "Andrews, George E."
V 661 "Andrews, James A."
V 662 "Andrzejak, Artur"
V 663 "Ang, Dang Dinh"
V 664 "Angelos, James R."
V 665 "Anselone, Philip M."
V 666 "Anstee, Richard P."
V 667 "Antoni, Jozef"
V 668 "Antosiewicz, Henry A."
V 669 "Anunchuen, N."
V 670 "Anwar, Ashraf"
V 671 "Anzai, Hirotada"
V 672 "Ao, Suqin"
V 673 "Aoki, Masahiko"
V 674 "Apaydin, Mehmet Serkan"
V 675 "Apostol, Tom M."
V 676 "Apostolico, Alberto"
V 677 "Applegate, David L."
V 678 "Appleson, Robert R."
V 679 "Apter, Arthur W."
V 680 "Arad, Uri"
V 681 "Arad, Zvi"
V 682 "Arasu, K. T."
V 683 "Arato, Matyas"
V 684 "Arazy, Jonathan"
V 685 "Archdeacon, Dan S."
V 686 "Arens, Richard F."
V 687 "Arlinghaus, Sandra L."
V 688 "Arlinghaus, William C."
V 689 "Armoni, Roy"
V 690 "Arms, Robert J."
V 691 "Arnold, L. K."
V 692 "Arnoux, Pierre"
V 693 "Aron, Ellen"
V 694 "Aronson, Jonathan"
V 695 "Arora, Sanjeev"
V 696 "Arratia, Richard"
V 697 "Artes, Joan C."
V 698 "Arthurs, Arnold Magowan"
V 699 "Artin, Emil"
V 700 "Artzner, Philippe"
V 701 "Arya, Sunil"
V 702 "Asano, Takao"
V 703 "Asano, Tetsuo"
V 704 "Asari, Hirotsugu"
V 705 "Aschbacher, Michael"
V 706 "Ash, Peter F."
V 707 "Ashley, Jonathan"
V 708 "Ashton, R. J."
V 709 "Askey, Richard A."
V 710 "Asplund, Edgar"
V 711 "Aspnes, James"
V 712 "Asratyan, A. S."
V 713 "Assaf, Ahmed M."
V 714 "Assiyatun, H."
V 715 "Assmann, Susan F."
V 716 "Assmus, Edward F., Jr."
V 717 "Assouad, Patrice"
V 718 "Astie-Vidal, Annie"
V 719 "Astoorian, Dan"
V 720 "Atan, Kamel A."
V 721 "Ateniese, Giuseppe"
V 722 "Athreya, Krishna B."
V 723 "Atici, Mustafa"
V 724 "Atkin, A. O. L."
V 725 "Atkins, Aron C."
V 726 "Atkinson, Kendall E."
V 727 "Atkinson, Michael D."
V 728 "Attar, Rony"
V 729 "Attiya Hagit"
V 730 "Aubert, Karl Egil"
